BoundedEvent+Agentive+Physical+Social	82	noun.act; verb.social
BoundedEvent	79	noun.creation; verb.act
Plant+Group	79	noun.plant
Animal+Object+Group	75	noun.animal
BoundedEvent+Agentive+Purpose+Possession	75	noun.act; verb.possession
Natural+Substance+Part	74	noun.substance
Building+Object+Group	70	noun.building
1stOrderEntity	69	noun.TOP
BoundedEvent+Agentive+Mental+Communication	67	noun.communication; verb.communication
BoundedEvent+Mental	67	noun.feeling; verb.emotion
Comestible+Artifact+Object+Part	66	noun.food
Place+Object+Natural+Part	65	noun.location
Dynamic+BoundedEvent	64	noun.phenomenon; verb.phenomenon
Place+Object+Part	61	noun.location
Dynamic+Agentive+Social	60	noun.act; verb.social
Mental	59	noun.motive
Mental	56	noun.feeling; verb.perception
UnboundedEvent	54	verb.TOP; noun.TOP
Comestible+Natural+Substance	52	noun.food
Dynamic+Agentive+Mental+Purpose	52	noun.cognition; verb.cognition
Place+Liquid+Natural	52	noun.location
BoundedEvent+Experience+Physical	50	noun.event; verb.phenomenon
Object	48	noun.food
Object	48	noun.food
UnboundedEvent	46	verb.social
Furniture+Artifact+Object+Part	41	noun.artifact
Comestible+Natural+Liquid	37	noun.food
Dynamic+Experience	35	noun.feeling; verb.perception
Dynamic+BoundedEvent+Physical+Condition	35	noun.phenomenon; verb.phenomenon
Dynamic+Possession	35	noun.possession; verb.possession
Part	30	noun.object
Property	29	noun.attribute; adj.phys
UnboundedEvent	29	noun.relation; verb.static
BoundedEvent+Possession	28	noun.possession; verb.possession
Natural+Group	28	noun.object
BoundedEvent+Communication	27	noun.communication; verb.communication
Property+Location	27	noun.location; adj.phys
Covering	25	noun.artifact
Group	25	noun.group
Vehicle+Object+Artifact+Group	24	noun.vehicle
BoundedEvent+Social	22	noun.event; verb.social
Mental+Mental+Experience	20	noun.cognition
Mental+Quantity+Part	20	noun.quantity
Group+Object+Living	20	noun.group
Dynamic+Agentive+Mental	19	noun.cognition; verb.cognition
Relation	19	noun.relation
Static+Existence	17	noun.state; verb.static
Static+Social	16	noun.state; verb.static
Group+Object+Natural	14	noun.group
Liquid	14	noun.substance
Place+Object+Group	13	noun.location
Static+Mental	11	noun.state; verb.static
Mental+Part	10	noun.abstract
Mental+Time+Part	10	noun.time
Mental+Relation	9	noun.relation
Form	9	noun.shape
Furniture+Artifact+Object+Group	9	noun.artifact
UnboundedEvent+Time	9	noun.time
BoundedEvent+Location	8	noun.event; verb.motion
Relation+Possession	8	noun.relation
Comestible+Group	7	noun.food
Container+Artifact+Object+Group	7	noun.container
Representation	7	noun.artifact
Container+Artifact+Object+Part	6	noun.artifact
Property+LanguageRepresentation	6	noun.attribute; adj.phys
Property+Stimulating+Physical	6	noun.phenomenon; adj.phys
Place	5	noun.location
Artifact+Substance+Part	4	noun.artifact
BoundedEvent+Agentive+Purpose+Possession+Social	4	noun.act; verb.social
BoundedEvent+Experience+Mental	3	noun.cognition
Comestible+Artifact+Substance+Part	3	noun.food
Comestible+Natural+Substance+Part	3	noun.food
BoundedEvent+Agentive+Experience+Condition+Purpose	2	noun.act
BoundedEvent+Agentive+Time	2	noun.act
Garment	2	noun.artifact
Mental+Quantity+MoneyRepresentation	1	noun.quantity
Relation+Location	1	noun.relation
Software	1	noun.artifact
BoundedEvent	39	verb.weather
Object	34	noun.cell
Mental	34	noun.knowledge
Object	22	noun.space
Object	18	noun.amount
Animate	15	noun.someone
Mental	11	noun.need
Object	11	noun.creature
Object	10	noun.entity
Animate	9	noun.organism
Mental	6	noun.soul
Object	6	noun.matter
Object	6	noun.form
Mental	5	noun.motivation
Property	5	noun.life
Animate	5	noun.human
Object	4	noun.quantum
Animate	4	noun.being
Mental	4	noun.article
Object	3	noun.grouping
Mental	2	noun.measure
Mental	2	noun.cause
Animate	2	noun.beast
Mental	1	noun.social_relation
Object	1	noun.nutrient
Animate	1	noun.mortal
Animate	1	noun.living_thing
BoundedEvent	1	noun.human_action
